"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000176171.11",192.77710871622,-2.55899318653,0.267913409586162,4.50614772539301e-24,7.25489783788275e-20,"BNIP3","664"
"ENSG00000114268.11",51.374712617355,-2.89036532528705,0.340763626357363,4.91704774920932e-19,3.9582234381135e-15,"PFKFB4","5210"
"ENSG00000134333.13",1176.88791869176,-1.89805673903074,0.232977452592961,6.13588531493693e-18,2.59985276338108e-14,"LDHA","3939"
"ENSG00000117394.21",747.437955214733,-1.93707243615954,0.238947000899529,6.45926152392814e-18,2.59985276338108e-14,"SLC2A1","6513"
"ENSG00000207524.1",2.01973931492283,0.0187961858406926,0.208450608681416,8.09378824457436e-17,NA,NA,NA
"ENSG00000136160.15",71.0099237684097,-2.1551530713107,0.281927283729862,3.09391938827573e-16,9.96242043024784e-13,"EDNRB","1910"
"ENSG00000141526.16",37.7603754367415,-3.29986969083255,0.45926843409464,3.76922642971591e-16,1.01140909197377e-12,"SLC16A3","9123"
"ENSG00000115457.9",525.736714858195,-1.70970815744428,0.25288998797508,2.55389900863151e-13,5.87396771985247e-10,"IGFBP2","3485"
"ENSG00000152256.13",89.6946436255979,-1.73879244440023,0.281186626937238,8.07678618235492e-12,1.62545321919893e-08,"PDK1","5163"
"ENSG00000106789.12",130.275335773319,-0.628243425714423,0.0968450944714008,1.01121095832774e-11,1.80894404767518e-08,"CORO2A","7464"
"ENSG00000168209.4",208.706683709027,-1.92141798337223,0.325352130171207,7.26577012048476e-11,1.16978898939805e-07,"DDIT4","54541"
"ENSG00000102144.14",929.5549011052,-1.32599112701319,0.229081442169064,1.09084938470695e-10,1.59660682670745e-07,"PGK1","5230"
"ENSG00000265972.5",40.0664579388764,-2.18955969102807,0.396242053558775,2.30674140232398e-10,3.09487804811801e-07,"TXNIP","10628"
"ENSG00000122884.12",74.0158545366784,-1.33352192651974,0.235972935770768,5.30961314902894e-10,6.57575166918199e-07,"P4HA1","5033"
"ENSG00000177181.14",48.2529296155355,-2.54985729655966,0.488398225806351,7.1266547901331e-10,8.19565300865307e-07,"RIMKLA","284716"
"ENSG00000198417.6",22.1366031711863,-3.15262434509627,0.579019392121396,1.00153019124199e-09,1.07497573859974e-06,"MT1F","4494"
"ENSG00000135441.7",53.4571850257666,1.24429687654794,0.235063678571394,2.99223186486676e-09,3.01093331402217e-06,"BLOC1S1","2647"
"ENSG00000114115.9",32.2351796467556,1.44680868440499,0.271417548204025,3.46560437136087e-09,3.28213119875941e-06,"RBP1","5947"
