"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000274544.1",27090.9218926339,-6.98611574067256,0.585789274862773,1.48859596513601e-41,4.80360314104455e-39,"SNORD28","9300"
"ENSG00000200879.1",16361.4206953876,-7.03944213472267,0.655676748297182,1.770221564711e-41,5.62171791193222e-39,"SNORD14E","85391"
"ENSG00000222345.1",3669.59319634486,-8.53967046687617,0.65719273101267,1.90993354812028e-41,5.97063132769412e-39,"SNORD19C","109616991"
"ENSG00000206680.1",42034.0785443311,-7.23211421452608,0.629790477932606,4.6708844533296e-41,1.43769823473485e-38,"SNORD21","6083"
"ENSG00000239039.1",84053.1758739614,-7.04971686543344,0.621686414012045,6.22081512520992e-41,1.88575527591022e-38,"SNORD13","692084"
"ENSG00000238622.1",157636.367621452,-7.25880308714421,0.594847404460436,9.81137705127655e-41,2.92979433828194e-38,"SNORD97","692223"
"ENSG00000075624.14",5784.68818955275,2.21597462591501,0.175014922497385,1.04048620051901e-40,3.06132461967408e-38,"ACTB","60"
"ENSG00000271852.1",6152.16892954094,-7.18278283367234,0.571703974623442,1.54770421848914e-40,4.48766931874091e-38,"SNORD11B","100113392"
"ENSG00000238795.1",3701.36101077348,-6.23199286264068,0.504227295976159,2.19150470228286e-40,6.26363351122474e-38,"SCARNA12","677777"
"ENSG00000272296.1",93791.3978114167,-6.95447232503044,0.620556002243162,3.01688033018963e-40,8.50122884029633e-38,"SNORD96A","619571"
"ENSG00000185963.13",173.183076607716,1.55747314505592,0.119398290525695,5.49213125215989e-40,1.52612597169393e-37,"BICD2","23299"
"ENSG00000138668.18",301.358967795688,1.41129244533259,0.108401885683887,5.73409833085648e-40,1.57153568911569e-37,"HNRNPD","3184"
"ENSG00000235284.1",14160.3924309865,-7.11131643833495,0.581840590128047,8.83082276341307e-40,2.38754420307575e-37,"SNORD62A","26786"
"ENSG00000202400.1",2444.58979094026,-7.42485496790071,0.627997197858653,2.70726193864991e-39,7.2218919475425e-37,"SNORD82","25826"
"ENSG00000207047.2",1824.32475019023,-7.71235162495587,0.617089953845134,3.64849455655336e-39,9.60466192012673e-37,"SNORD51","26798"
